Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-27 00:00:00-04:00,281.4939005739439,285.74872593714474,280.7543307353066,285.4930725097656,2064600,0.0,0.0
2020-07-28 00:00:00-04:00,284.12350263047256,284.9726342670909,279.53999181582645,280.62652587890625,1397400,0.0,0.0
2020-07-29 00:00:00-04:00,281.70384947350965,284.1691002930588,280.70862643033496,281.99603271484375,1656200,0.0,0.0
2020-07-30 00:00:00-04:00,279.3938788642846,285.7213217864663,279.3938788642846,284.9635009765625,2125900,0.0,0.0
2020-07-31 00:00:00-04:00,287.3374526925685,290.7157281053994,284.32436461372987,289.2091979980469,2471900,0.0,0.0
2020-08-03 00:00:00-04:00,290.3504846302963,295.36313030692014,289.69308619203986,293.2996520996094,2079600,0.0,0.0
2020-08-04 00:00:00-04:00,292.63313479886597,300.01972134759694,292.5327124643583,299.8371276855469,2525800,0.0,0.0
2020-08-05 00:00:00-04:00,299.7092707860364,302.7497211967022,297.47228260024445,300.8871154785156,2229900,0.0,0.0
2020-08-06 00:00:00-04:00,299.270975252035,302.11058080899215,297.11618640187834,300.5401306152344,1419300,0.0,0.0
2020-08-07 00:00:00-04:00,299.83710043897327,301.0605865336467,293.5279090212999,297.5909729003906,1419200,0.0,0.0
2020-08-10 00:00:00-04:00,296.02969889954244,300.64060001659374,295.88360724653296,298.89666748046875,1198900,0.0,0.0
2020-08-11 00:00:00-04:00,299.0883817956407,304.3384295926686,294.69660491108334,295.8561706542969,1931600,0.0,0.0
2020-08-12 00:00:00-04:00,297.5179637316225,306.6758730676717,297.0705493582098,304.6306457519531,1847100,0.0,0.0
2020-08-13 00:00:00-04:00,303.32489045997323,304.4205636203562,299.34399851455856,300.7774963378906,1509500,0.0,0.0
2020-08-14 00:00:00-04:00,299.49930510613973,301.1702058594402,297.65495010894614,299.31671142578125,1014000,0.0,0.0
2020-08-17 00:00:00-04:00,300.85970396155403,302.9414609262662,300.39403863256274,301.5992736816406,1059400,0.0,0.0
2020-08-18 00:00:00-04:00,303.0054304468353,304.2106658024753,299.6089036768003,300.0654296875,885700,0.0,0.0
2020-08-19 00:00:00-04:00,300.8231873042414,304.1284304679389,299.700123523152,300.5857849121094,1127300,0.0,0.0
2020-08-20 00:00:00-04:00,299.19799634816496,301.29800469188774,297.7097172083019,300.2388610839844,891000,0.0,0.0
2020-08-21 00:00:00-04:00,299.75495839178745,301.7271540419134,296.74189795817404,301.3254089355469,1150800,0.0,0.0
2020-08-24 00:00:00-04:00,303.14235579046215,306.9589058632076,302.34800513357504,304.9593200683594,1199600,0.0,0.0
2020-08-25 00:00:00-04:00,305.8723461220144,307.7806209974085,304.046242563077,306.9132385253906,1114000,0.0,0.0
2020-08-26 00:00:00-04:00,305.6349554002757,311.81633401608985,304.5119195017373,310.1363220214844,1484400,0.0,0.0
2020-08-27 00:00:00-04:00,310.8850330786651,311.62460288987666,306.9132795977634,309.6524353027344,1255200,0.0,0.0
2020-08-28 00:00:00-04:00,309.52462328288846,314.8385925292969,308.3376668466318,314.8385925292969,1458900,0.0,0.0
2020-08-31 00:00:00-04:00,313.6515597275791,320.0977035234142,313.6515597275791,316.9659423828125,2222900,0.0,0.0
