Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-07-27 00:00:00-04:00,103.10314265322366,104.20392741005142,102.89857381051216,104.09677124023438,8454000,0.0,0.0,0.0
2020-07-28 00:00:00-04:00,103.77531318656014,104.09678172840053,102.80117149524597,102.87910461425781,8912700,0.0,0.0,0.0
2020-07-29 00:00:00-04:00,103.26876749697556,104.65204697815602,103.26876749697556,104.36954498291016,6593500,0.0,0.0,0.0
2020-07-30 00:00:00-04:00,103.42461557000095,105.02220725630315,102.86935513551923,104.95401763916016,10778400,0.0,0.0,0.0
2020-07-31 00:00:00-04:00,106.61006473646795,107.6134294485449,104.87609378564242,107.574462890625,12592900,0.0,0.0,0.0
2020-08-03 00:00:00-04:00,109.03568982024133,110.57483561758416,108.98697975835744,110.2241439819336,12163500,0.0,0.0,0.0
2020-08-04 00:00:00-04:00,109.99034365789014,110.51637363918782,109.51300887054343,110.50663757324219,8985800,0.0,0.0,0.0
2020-08-05 00:00:00-04:00,110.8573253622695,111.16905040035076,110.36051102803931,110.915771484375,6480100,0.0,0.0,0.0
2020-08-06 00:00:00-04:00,110.82810147750716,112.58155956633796,110.5845660447313,112.47440338134766,8199700,0.0,0.0,0.0
2020-08-07 00:00:00-04:00,112.02629451355028,112.03603801145567,109.92214489266497,110.79887390136719,13738100,0.0,0.0,0.0
2020-08-10 00:00:00-04:00,111.01317418882985,111.19826346834537,108.99670140418189,110.48713684082031,8240600,0.0,0.0,0.0
2020-08-11 00:00:00-04:00,110.1267308632692,110.59431475424894,108.27586000053715,108.49990844726562,9422200,0.0,0.0,0.0
2020-08-12 00:00:00-04:00,109.37663695319868,111.25673087013679,109.24025769970986,110.96449279785156,7098400,0.0,0.0,0.0
2020-08-13 00:00:00-04:00,111.12033213504034,111.93861494462392,110.6137817726205,111.01317596435547,5726800,0.0,0.0,0.0
2020-08-14 00:00:00-04:00,111.06189250069423,111.25671785943423,110.3215427596823,110.93524932861328,4167100,0.0,0.0,0.0
2020-08-17 00:00:00-04:00,111.60742377579798,111.92889234787981,111.47104452075334,111.67561340332031,4087300,0.0,0.0,0.0
2020-08-18 00:00:00-04:00,111.88992117712661,112.39647161327407,111.14957137157724,112.09449005126953,4465000,0.0,0.0,0.0
2020-08-19 00:00:00-04:00,112.37698822709007,112.87380258003502,111.77301769150773,111.9581069946289,7119700,0.0,0.0,0.0
2020-08-20 00:00:00-04:00,111.5392154223043,113.67258794708493,111.42231575241537,113.44853210449219,6401500,0.0,0.0,0.0
2020-08-21 00:00:00-04:00,113.55569724826809,115.01690979281925,113.49725112476168,114.89027404785156,7644300,0.0,0.0,0.0
2020-08-24 00:00:00-04:00,116.54632787408465,116.58529443911388,114.91951280270426,115.8839111328125,8220300,0.0,0.0,0.0
2020-08-25 00:00:00-04:00,115.62087008600093,116.5170785836248,115.445524298891,116.46836853027344,9314100,0.0,0.0,0.0
2020-08-26 00:00:00-04:00,117.68606085407721,119.14727345939572,117.423045855249,118.8355484008789,8231500,0.0,0.0,0.0
2020-08-27 00:00:00-04:00,119.33234687781595,119.87786379955342,117.86139097000455,118.93294525146484,9087100,0.0,0.0,0.0
2020-08-28 00:00:00-04:00,119.4005485495471,120.36494675703075,119.24468974136019,119.97529602050781,6546300,0.0,0.0,0.0
2020-08-31 00:00:00-04:00,120.45262966920127,121.13452592585875,119.70253635476627,120.35521697998047,9520000,0.0,0.0,0.0
2020-09-01 00:00:00-04:00,121.43651288835085,122.81004887719459,120.6766760880986,122.65419006347656,12806300,0.0,0.0,0.0
2020-09-02 00:00:00-04:00,124.40764067927216,124.41738417765997,121.5826281478552,123.74522399902344,20197500,0.0,0.0,0.0
2020-09-03 00:00:00-04:00,121.76771363052877,121.86512631501093,115.72803800729912,116.69243621826172,27081000,0.0,0.0,0.0
2020-09-04 00:00:00-04:00,116.03976212357225,117.69580004278295,110.12672229451827,115.06562042236328,31272100,0.0,0.0,0.0
2020-09-08 00:00:00-04:00,110.69171983379229,113.32190691010791,109.66887549754018,109.86370086669922,23930200,0.0,0.0,0.0
2020-09-09 00:00:00-04:00,112.54258010115761,114.55905295604933,111.31515957971155,113.44853210449219,18391900,0.0,0.0,0.0
2020-09-10 00:00:00-04:00,115.00716611036165,115.18251191271095,110.21439075562948,110.88655090332031,16054900,0.0,0.0,0.0
2020-09-11 00:00:00-04:00,111.92887678627746,112.35749405735007,108.63627326111451,110.0390396118164,18583200,0.0,0.0,0.0
2020-09-14 00:00:00-04:00,111.8704206846012,112.95171848327783,111.34439074718465,112.3477554321289,12365100,0.0,0.0,0.0
2020-09-15 00:00:00-04:00,114.06223788474354,114.26681416370582,112.69844557239965,113.4582748413086,9130200,0.0,0.0,0.0
2020-09-16 00:00:00-04:00,113.96483478955051,114.12070102812632,111.59767017398742,111.70482635498047,9818500,0.0,0.0,0.0
